Gas,Source,Label,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
CH4,,CH4,780.8,785.3,784.3,769.1,772.9,765.1,756.5,740.5,725.8,713.9,704.2,695.8,684.2,684.4,675.8,680.9,682.1,686,695.1,690.4,692.1,672.1,666.1,658.8,659.1,655.7
,Enteric Fermentation,Enteric Fermentation,164.2,164.4,169.2,171.6,174.7,178.7,177.5,174.1,172.3,172.4,170.6,169.6,169.8,170,166.8,168.9,171.6,174.5,173.8,173,171.3,168.9,166.7,165.5,164.2,166.5
,Natural Gas Systems,Natural Gas Systems,194.1,196.5,195.3,192.8,192.3,184.9,181.8,179.2,174.5,172.9,169.7,169.8,163.4,162.3,160.2,159.7,162.2,159.8,162.7,156.1,152.3,154.5,156.2,159.2,162.5,162.4
,Landfills,Landfills,179.6,181.7,181.4,179.2,179,174.2,170.6,161.1,151.4,144.7,141.4,136.8,134.9,137.4,134.9,134.3,132.3,130.3,128.4,126.5,127.6,119,120.8,116.7,116.6,115.7
,Manure Management,Manure Management,37.2,38.9,37.5,39.2,42,43.3,42.6,44.7,48.7,49.3,50,52.2,53.5,54.4,53.1,56.3,57,62,61.4,60.4,62.1,63,65.6,63.3,62.9,66.3
,Coal Mining,Coal Mining,96.5,93.2,90.7,77.3,77.6,76.4,76,75.4,75.7,71.2,68.3,68,63.8,64,65.3,64.1,65.6,64.8,75.6,79.9,82.3,71.2,66.5,64.6,64.8,60.9
,Petroleum Systems,Petroleum Systems,55.5,55.5,53.8,52.6,51.7,50.9,50.5,50.4,49,47.3,47.3,47.1,46.5,46.3,46,46,46.3,46.2,47,46.2,47,48,46.4,44.5,43,39.9
,Wastewater Treatment,Wastewater Treatment,15.7,15.9,16.2,16.2,16.4,16.4,16.4,16.5,16.5,16.6,16.6,16.3,16.3,16.1,15.9,16,16,16,16,15.7,15.5,15.3,15.1,14.9,14.8,14.8
,Rice Cultivation,Rice Cultivation,16,16.8,16.9,16.9,14.8,15.8,16,15.8,16.1,18.1,18.3,15.6,16.5,14.3,14.1,16.7,12.9,13.9,11.5,14.5,15.9,14.1,11.3,11.3,11.4,11.2
,Stationary Combustion,Stationary Combustion,8.5,8.7,9,8.4,8.2,8.2,8.5,7.7,7,7.2,7.5,7,7,7.2,7.4,7.4,6.9,7.2,7.4,7.4,7.1,7.1,6.6,8,8.1,7
,Abandoned Underground Coal Mines,Abandoned Underground Coal Mines,7.2,7.3,7.9,8.2,9.7,9.8,10.1,9,8.2,8.3,8.8,8,7.3,7.2,6.9,6.6,6.5,6.3,6.3,6.4,6.6,6.4,6.2,6.2,6.3,6.4
,Composting,Composting,0.4,0.4,0.5,0.6,0.8,0.9,1,1.1,1.2,1.3,1.5,1.5,1.5,1.7,1.9,1.9,1.9,2,2,1.9,1.8,1.9,1.9,2,2.1,2.1
