Q_SUBPART_LEVEL_INFORMATION.FACILITY_ID,Q_SUBPART_LEVEL_INFORMATION.REPORTING_YEAR,Q_SUBPART_LEVEL_INFORMATION.GHG_NAME,Q_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
1002147,2015,Nitrous Oxide,0
1002147,2012,Nitrous Oxide,0
1002266,2011,Nitrous Oxide,.064
1002266,2012,Biogenic Carbon dioxide,0
1002266,2015,Methane,.57
1002266,2016,Carbon Dioxide,548004.6
1002216,2012,Nitrous Oxide,0
1002216,2014,Nitrous Oxide,0
1002216,2015,Biogenic Carbon dioxide,0
1002216,2015,Nitrous Oxide,0
1002216,2016,Carbon Dioxide,24445
1002714,2014,Nitrous Oxide,.007
1002621,2013,Nitrous Oxide,0
1002777,2012,Biogenic Carbon dioxide,0
1002777,2012,Methane,0
1002768,2010,Carbon Dioxide,98043.1
1002777,2014,Biogenic Carbon dioxide,0
1002768,2011,Nitrous Oxide,0
1002768,2013,Methane,0
1002768,2016,Biogenic Carbon dioxide,0
1002768,2016,Methane,0
1002769,2015,Carbon Dioxide,689
1002769,2016,Biogenic Carbon dioxide,0
1002903,2011,Methane,0
1002903,2013,Biogenic Carbon dioxide,0
1002903,2014,Carbon Dioxide,114726.2
1002958,2014,Methane,0
1002958,2015,Nitrous Oxide,0
1002958,2015,Carbon Dioxide,203345.6
1002977,2011,Biogenic Carbon dioxide,0
1002977,2011,Nitrous Oxide,0
1002977,2011,Carbon Dioxide,47275.2
1002977,2014,Biogenic Carbon dioxide,0
1002977,2016,Methane,0
1003204,2010,Biogenic Carbon dioxide,0
1003204,2014,Carbon Dioxide,527285.2
1003204,2011,Nitrous Oxide,0
1003204,2011,Carbon Dioxide,564476
1003204,2015,Biogenic Carbon dioxide,0
1003204,2015,Carbon Dioxide,522911.1
1003204,2016,Biogenic Carbon dioxide,0
1003093,2010,Carbon Dioxide,106451.5
1003093,2012,Methane,1.69
1003093,2013,Methane,.63
1003093,2014,Biogenic Carbon dioxide,0
1003052,2013,Methane,0
1003052,2016,Carbon Dioxide,30053.4
1003268,2010,Methane,0
1003268,2014,Biogenic Carbon dioxide,0
1003380,2011,Biogenic Carbon dioxide,0
1003380,2012,Methane,.05
1003380,2016,Methane,.11
1003474,2011,Nitrous Oxide,0
1003474,2013,Biogenic Carbon dioxide,0
1003474,2015,Biogenic Carbon dioxide,0
1003474,2015,Methane,0
1003457,2010,Carbon Dioxide,175231.7
1003457,2011,Nitrous Oxide,0
1003403,2012,Carbon Dioxide,361960
1003403,2013,Carbon Dioxide,368882.9
1003457,2012,Nitrous Oxide,0
1003457,2014,Biogenic Carbon dioxide,0
1003403,2014,Methane,0
1003457,2015,Methane,0
1003403,2016,Biogenic Carbon dioxide,0
1003577,2016,Biogenic Carbon dioxide,0
1003580,2011,Nitrous Oxide,0
1003580,2015,Methane,0
1000156,2015,Biogenic Carbon dioxide,0
1000159,2015,Nitrous Oxide,.003
1000418,2015,Carbon Dioxide,1233325.4
1006041,2015,Nitrous Oxide,.179
1006041,2016,Methane,0
1004259,2015,Nitrous Oxide,0
1000156,2011,Nitrous Oxide,.501
1000156,2011,Carbon Dioxide,1991155.3
1000124,2011,Methane,0
1003902,2015,Biogenic Carbon dioxide,0
1001563,2015,Carbon Dioxide,23994.9
1006041,2011,Methane,.41
1000588,2011,Biogenic Carbon dioxide,0
1000233,2013,Nitrous Oxide,.028
1000124,2013,Carbon Dioxide,39471.9
1000156,2013,Carbon Dioxide,1010315.6
1000156,2016,Biogenic Carbon dioxide,0
1005423,2015,Biogenic Carbon dioxide,0
1005423,2015,Methane,0
1005423,2015,Carbon Dioxide,1163.8
1001834,2016,Biogenic Carbon dioxide,0
1001834,2016,Nitrous Oxide,.327
1000029,2010,Methane,0
1000029,2010,Nitrous Oxide,0
1003093,2016,Biogenic Carbon dioxide,0
1002903,2016,Carbon Dioxide,64590.4
1001618,2010,Biogenic Carbon dioxide,0
1001618,2010,Methane,0
1003981,2011,Nitrous Oxide,0
1003965,2015,Nitrous Oxide,0
1003965,2015,Carbon Dioxide,19358.1
1003981,2014,Carbon Dioxide,49826.1
1003981,2016,Methane,0
1004038,2011,Methane,0
1004038,2012,Methane,0
1004038,2013,Carbon Dioxide,45716.1
1004038,2014,Nitrous Oxide,0
1004259,2011,Methane,0
1004259,2011,Carbon Dioxide,161394
1004259,2012,Biogenic Carbon dioxide,0
1004616,2010,Carbon Dioxide,252724
1004616,2014,Biogenic Carbon dioxide,0
1004616,2014,Nitrous Oxide,0
1004434,2011,Nitrous Oxide,0
1004453,2011,Nitrous Oxide,0
1004453,2012,Biogenic Carbon dioxide,0
1004434,2013,Methane,0
1004509,2013,Biogenic Carbon dioxide,0
1004215,2016,Biogenic Carbon dioxide,0
1004458,2013,Nitrous Oxide,0
1004493,2010,Methane,0
1004458,2015,Nitrous Oxide,0
1004493,2012,Methane,0
1004511,2010,Biogenic Carbon dioxide,0
1004511,2010,Nitrous Oxide,0
1004511,2011,Methane,.1
1004511,2011,Carbon Dioxide,18639.5
1004493,2016,Carbon Dioxide,26364.6
1004511,2012,Methane,.1
1004511,2015,Methane,.07
1005116,2010,Biogenic Carbon dioxide,0
1005144,2010,Carbon Dioxide,324219
1005144,2012,Carbon Dioxide,475804.6
1005144,2016,Methane,0
1005116,2013,Methane,0
1005003,2010,Carbon Dioxide,27072
1005116,2015,Carbon Dioxide,222202
1005003,2011,Methane,0
1005116,2016,Biogenic Carbon dioxide,0
1005190,2014,Biogenic Carbon dioxide,0
1005190,2014,Methane,0
1005283,2010,Biogenic Carbon dioxide,0
1005283,2012,Nitrous Oxide,0
1005003,2013,Nitrous Oxide,0
1005190,2016,Methane,0
